"Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
90361,0,0,6.9759088245,NA,0,0,0,0
90362,57.971606415,162.42944225,18.60119883,NA,0,0,220.401048665,11.848755054945
90366,153.6017956,450.82062085,69.786473815,NA,47.575824305,0,651.998240755,8.66102531634267
90367,151.82037155,735.9854557,86.63790558,26.92478946,61.391995985,0,949.197823235,10.247314051587
90371,180.7868724,517.16411035,58.299629275,NA,0,0,697.95098275,11.9717910976373
90373,111.6454006,480.2225674,49.388060155,14.10225475,46.28988389,0,638.15785189,11.9840294626368
90375,0,0,NA,NA,0,0,0,NA
90378,78.218998915,377.4601846,29.593847775,NA,0,0,455.679183515,15.3977673663627
90384,35.231279535,171.5446237,20.159021965,NA,0,0,206.775903235,10.2572388478967
90387,0,0,NA,NA,0,0,0,NA
90390,0,0,51.651101435,NA,0,0,0,0
90391,0,0,NA,NA,0,0,0,NA
90395,184.38760095,574.5243411,51.490485075,NA,69.30379473,0,828.21573678,14.7388773080033
90397,182.5676109,451.7916742,NA,NA,0,0,634.3592851,NA
90400,208.8591614,780.0522674,68.54828381,28.129944835,117.7595968,0,1106.6710256,14.4264943458108
90401,54.09941338,208.00165055,NA,NA,0,0,262.10106393,NA
90403,126.19087735,372.70906795,37.522872205,NA,NA,0,NA,13.2958890400059
90407,0,0,29.477908985,NA,0,0,0,0
90408,0,0,109.50547095,NA,0,0,0,0
90409,0,0,NA,NA,0,0,0,NA
90410,104.00903255,381.80850355,64.82165224,7.646637235,192.35189795,0,678.16943405,7.4946799304232
90411,33.138405735,253.4753918,114.78568205,NA,123.2894627,0,409.903260235,2.49694728833996
90412,525.8912701,1015.9369092,96.585870995,52.963426845,68.83355643,0,1610.66173573,15.9632890754779
90414,108.6531835,218.13869335,14.305266395,NA,0,0,326.79187685,22.8441657657086
90415,399.2659171,1458.3013985,72.651624615,36.914318985,294.9818425,52.220677675,2204.769835775,25.5681455912891
90416,0,0,4.801967576,NA,0,0,0,0
90418,0,0,66.407945155,NA,0,0,0,0
90419,435.14883515,1761.9820305,77.725442965,72.709690355,272.11440835,0,2469.245274,28.2678461754071
90429,386.095734,1129.6626685,127.0784359,NA,94.573026295,0,1610.331428795,11.9277388942116
90430,0,0,70.29605539,NA,0,0,0,0
90431,0,0,123.24345335,NA,0,0,0,0
90433,30.534793515,110.90834415,NA,NA,0,0,141.443137665,NA
90434,0,0,111.2859592,NA,0,0,0,0
90435,0,0,NA,NA,0,0,0,NA
90436,297.5494682,938.7746792,117.0829822,50.718575735,134.26111295,0,1370.58526035,10.5593838162417
90437,0,0,151.0424475,NA,0,0,0,0
90438,0,0,14.209579895,NA,0,0,0,0
90439,195.0344243,652.8857347,77.53618417,20.85482274,204.5060928,0,1052.4262518,10.9357994345055
90440,0,0,84.99446534,0,0,0,0,0
90441,0,0,86.61136169,0,0,0,0,0
90442,0,47.55565719,22.26668907,144.7017161,68.02822901,0,115.5838862,2.13573095849584
90443,303.0397805,675.9926856,109.6669815,82.42641328,242.0014622,0,1221.0339283,8.92732208645681
90444,138.0020329,527.9363377,31.22910253,0,171.9364562,0,837.8748268,21.3242878164773
90445,0,0,57.14097417,0,0,0,0,0
90446,0,169.5423244,72.46791409,687.6713888,351.6968548,0,521.2391792,2.33955022065959
90447,264.6480418,825.5132649,41.55911404,13.96580325,109.8743424,0,1200.0356491,26.2315819738298
90452,0,0,NA,NA,0,0,0,NA
90453,0,0,NA,NA,0,0,0,NA
90455,0,0,NA,NA,0,0,0,NA
90456,0,0,NA,NA,0,0,0,NA
90457,313.485593,952.8914506,189.1797378,NA,93.21081832,0,1359.58786192,6.6940416469908
90458,0,0,56.94949926,NA,0,0,0,0
90459,0,0,12.585163,NA,0,0,0,0
90460,0,0,8.200626256,NA,0,0,0,0
90461,0,0,NA,NA,0,0,0,NA
90462,177.98934925,648.01958975,114.25974775,NA,127.60651825,0,953.61545725,7.22922074716378
90463,242.2886894,778.55157295,42.7398254,NA,134.43279725,0,1155.2730596,23.8849890657251
90465,404.6211257,1152.9143575,73.674699195,NA,261.674481,0,1819.2099642,21.1407104503754
90467,0,0,13.311292345,NA,0,0,0,0
90469,150.9177945,522.64390955,28.059078675,17.52855988,52.22314376,0,725.78484781,24.0051254658667
