"Sample.Name","Alpha","Beta","Lutein","Lycopene","Phytoene","Zeta","Total","AB.ratio","Outer.Color","Inner.Color"
80751,17.44599864,24.04912581,4.442109555,NA,0,0,41.49512445,9.34131046,"1","1"
80752,893.0906626,994.6843682,40.03875102,32.806454,0,0,1887.775031,47.14869927,"1","1"
80754,130.0309431,83.90483236,7.934874709,NA,0,0,213.9357754,26.96145601,"1","1"
80755,464.6678604,786.6273853,62.98032567,NA,NA,0,NA,19.8680339,"1","1"
80756,20.47236252,26.62076555,4.262968729,NA,0,0,47.09312807,11.0470264,"1","1"
80757,872.0141989,1085.889256,86.17830384,29.8526873,NA,26.5254357,NA,22.71921548,"1","1"
80758,409.7361537,1113.012887,78.9974049,NA,31.73906095,NA,NA,19.27593752,"1","1"
80763,15.30616242,33.77767208,23.85849388,10.7460319,0,0,49.0838345,2.057289733,"3","1"
80769,227.4286975,641.4787009,44.91593047,NA,28.90137458,0,897.8087729,19.34519422,"1","1"
80771,34.12921809,71.54644963,6.402704228,NA,0,0,105.6756677,16.50484919,"1","1"
80773,13.82623821,27.44469388,5.350826516,NA,0,0,41.27093209,7.713001339,"1","1"
80774,14.42112027,13.99091916,4.298116306,NA,0,0,28.41203943,6.610346815,"1","1"
80783,478.2809524,735.8948238,86.11518,50.05522048,12.42551734,0,1226.601293,14.09943957,"1","1"
80784,52.3480382,81.17500045,11.82125644,NA,0,0,133.5230387,11.29516472,"1","1"
80786,395.6803148,930.2543815,73.81690695,NA,14.64783983,0,1340.582536,17.96247975,"1","1"
80788,699.3168034,944.1275954,152.0194604,56.45702862,30.48041308,63.14670615,1737.071518,10.81075011,"1","1"
81581,15.2517795,20.67009863,NA,NA,0,0,35.92187813,NA,"1","1"
