"Sample.Name","ID","Exterior","Interior","Color","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","AB.Ratio","Total"
80209,"PI 230723","Orange","Yellow","Orange",144.6716794,324.0296497,297.9489963,NA,29.99968099,30.08265035,1.57309249207227,528.78366044
80211,"PI 234619","Orange","Orange","Orange",406.7951102,858.5919192,116.6224682,34.68973121,21.44818493,36.79459455,10.8502851031239,1323.62980888
80212,"PI 234620","Orange","Yellow","Orange",23.45264395,27.28679406,24.78008199,NA,0,0,2.04758959354839,50.73943801
80213,"PI 234621","Orange","Orange","Orange",209.7341257,381.6831181,78.71162835,NA,16.53966653,0,7.51372136744774,607.95691033
80214,"PI 234622","Yellow","Yellow","Yellow",0,0,58.25877864,NA,0,0,0,0
80218,"PI 251228","White","White","White",0,0,53.99261312,NA,0,0,0,0
80219,"PI 251522","White","White","White",0,0,15.1371575,NA,0,0,0,0
80220,"PI 254552","Yellow","Yellow","Yellow",0,0,2.722922679,0,0,0,0,0
80224,"PI 261614","Orange","Orange","Orange",63.60331125,151.1509117,27.07020772,NA,10.95028865,0,7.93323143920079,225.7045116
80229,"PI 261649","Orange","Orange","Orange",123.8539098,352.5728857,77.16344442,8.168665276,34.80729159,67.05436427,6.17425516811837,578.28845136
80230,"PI 261650","Orange","Orange","Orange",30.0522346,55.63522322,7.458718064,NA,0,0,11.4882285514419,85.68745782
80231,"PI 261781","Orange","Orange","Orange",39.55932161,100.7649661,10.43773794,NA,0,0,13.4439366572179,140.32428771
80232,"PI 261782","Orange","Orange","Orange",384.0376411,535.4185778,48.78750274,11.89479439,33.09459169,38.92278789,18.8461422959071,991.47359848
80233,"PI 261783","Yellow","Yellow","Yellow",0,0,47.41057648,NA,0,0,0,0
80234,"PI 263016","Yellow","Yellow","Yellow",0,0,2.517295845,NA,0,0,0,0
80235,"PI 263019","Orange","Orange","Orange",192.0112617,160.7732298,65.21897708,NA,24.61260035,28.59139034,5.40923067633001,405.98848219
80236,"PI 263022","Orange","Orange","Orange",89.51225007,205.3027643,59.86569437,NA,16.18303762,32.07429414,4.92460694680822,343.07234613
80237,"PI 263023","Orange","Orange","Orange",422.4791454,626.7834382,147.6971409,NA,NA,29.49365587,7.10414959427288,NA
80238,"PI 263024","Orange","Orange","Orange",55.13548646,32.10998166,10.79890965,NA,0,0,8.07909973762953,87.24546812
80242,"PI 264234","Orange","Orange","Orange",216.3921277,523.9998678,100.4499572,12.93304634,19.55894129,18.94662747,7.37075471347239,778.89756426
80246,"PI 264238","Orange","Yellow","Orange",11.3681363,54.02300494,12.98157766,NA,0,0,5.03722605623576,65.39114124
80248,"PI 264669","Orange","Orange","Orange",359.7983953,323.8546765,24.1461804,NA,NA,0,28.3130938506531,NA
80249,"PI 267089","Orange","Yellow","Orange",6.936297398,34.62152855,37.76984367,NA,0,0,1.10029118232779,41.557825948
80250,"PI 267090","Orange","Orange","Orange",55.05408536,184.2045863,117.0870937,NA,0,0,2.04342480541047,239.25867166
80251,"PI 267091","Yellow","Yellow","Yellow",0,0,55.61703547,NA,0,0,0,0
80254,"PI 269317","Orange","Orange","Orange",98.25471086,226.389079,70.49778608,NA,0,0,4.60502106394658,324.64378986
80259,"PI 269321","Orange","Yellow","Orange",113.7294871,246.4581446,87.11166298,NA,10.08448122,NA,4.13478080177043,NA
80260,"PI 269322","Orange","Orange","Orange",219.8857639,324.3091801,57.94509691,16.12109974,5.118714601,0,9.39156154739443,549.313658601
80262,"PI 269487","Yellow","Yellow","Yellow",0,0,43.33063462,NA,0,0,0,0
80263,"PI 269488","Yellow","Yellow","Yellow",0,0,67.96642164,NA,0,0,0,0
80264,"PI 271044","Yellow","Yellow","Yellow",0,0,46.92817147,NA,0,0,0,0
80266,"PI 271471","Orange","Orange","Orange",0,117.7533338,103.4035706,47.74530856,12.85140227,0,1.13877434905522,130.60473607
80267,"PI 271473","Orange","Yellow","Orange",0,43.59942763,70.31690572,11.07874917,0,0,0.620041897230401,43.59942763
80270,"PI 274789","Orange","Orange","Orange",70.92165918,231.9648758,111.3525234,NA,20.61411607,0,2.72006889230496,323.50065105
80271,"PI 276325","Orange","Yellow","Orange",35.32563124,41.28378007,11.705463,NA,0,0,6.54475703438642,76.60941131
80272,"PI 277285","Orange","Orange","Orange",124.3887589,178.3080524,45.20826454,NA,7.853297977,17.32598479,6.69560785798746,327.876094067
80275,"PI 277709","Orange","Orange","Orange",34.02257791,25.35309828,5.511188984,NA,0,0,10.773659978342,59.37567619
80276,"PI 277710","Orange","Orange","Orange",395.401285,457.9533418,53.42926639,NA,16.23671817,13.48707947,15.9716702934128,883.07842444
80277,"PI 277711","Orange","Orange","Orange",76.92833989,196.0015819,28.30134861,NA,0,0,9.6437072858628,272.92992179
80287,"PI 284700","Orange","Orange","Orange",290.9811948,469.4557176,89.08335326,13.22941306,NA,12.97793962,8.536240325177,NA
80288,"PI 284701","Orange","Orange","Orange",88.85734942,182.4854454,48.69443927,NA,NA,23.42235066,5.57235690333066,NA
80290,"PI 284773","Orange","Orange","Orange",16.96081145,49.78662911,12.05385768,NA,0,0,5.53743393459412,66.74744056
80291,"PI 285612","Orange","Orange","Orange",70.8097887,258.4219213,99.69111827,NA,NA,15.86332752,3.30251797465367,NA
80292,"PI 285613","Orange","Orange","Orange",16.20046158,53.34840648,4.44178087,NA,0,0,15.6578791470188,69.54886806
80293,"PI 285614","Orange","Orange","Orange",66.73375658,220.7427256,34.68278725,NA,0,0,8.28873643020141,287.47648218
80294,"PI 285615","Orange","Orange","Orange",305.9462318,466.9042262,91.26004516,NA,18.14769796,19.03229677,8.46866179657279,810.03045273
80295,"PI 285616","Orange","Orange","Orange",32.80312552,61.43825393,10.7756665,NA,0,0,8.74575873798618,94.24137945
80298,"PI 285619","White","White","White",0,0,2.349812889,NA,0,0,0,0
80299,"PI 285620","White","White","White",0,0,2.440088775,NA,0,0,0,0
80300,"PI 285621","Yellow","Yellow","Yellow",0,0,65.37095398,NA,0,0,0,0
80301,"PI 285622","Yellow","Yellow","Yellow",0,0,69.31535226,NA,0,0,0,0
80302,"PI 285623","Orange","Orange","Orange",30.64878741,127.0607045,21.04882374,NA,0,0,7.49255606194743,157.70949191
80304,"PI 287518","White","White","White",0,0,3.949436992,NA,0,0,0,0
80307,"PI 288457","Yellow","Yellow","Yellow",0,0,39.01632114,NA,0,0,0,0
80312,"PI 288765","Yellow","Yellow","Yellow",0,0,27.76179633,NA,0,0,0,0
