"","Sample Name","Outer Color","Inner Color","Color","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio","PI"
"178",90686,"Orange","Yellow","Orange",238.3826621,686.588246,100.4805216,NA,130.3666513,0,1055.337559,9.205474785,"PI 652277"
"179",90692,"Orange","Yellow","Orange",39.28736749,146.2070673,19.86431231,NA,23.74660094,0,209.2410357,9.338074827,"PI 652283"
"180",90693,"Orange","Orange","Orange",344.6962403,1006.49517,83.98033893,NA,116.7648351,0,1467.956245,16.08937791,"PI 652284"
"181",90695,"Orange","Orange","Orange",381.2031394,764.1878218,138.8748484,NA,157.4049355,0,1302.795897,8.24764869,"PI 652286"
"182",90711,"Orange","Yellow","Orange",814.3137989,1693.534729,103.984537,60.16852568,255.4705027,48.42518677,2811.744217,24.11751402,"PI 652400"
"183",90712,"Orange","Yellow","Orange",562.8020406,1345.033866,152.7239063,59.22441793,129.2020071,0,2037.037913,12.49205807,"PI 652401"
"184",90714,"Orange","Yellow","Orange",390.2392011,1130.18396,125.3046207,56.19347555,140.8314754,0,1661.254636,12.1338156,"PI 652403"
"185",90225,"Orange","Orange","Orange",545.961881,1481.009875,155.6755677,72.63566498,131.5274351,0,2158.499191,13.02048732,"Seminis 397694"
"186",90609,"Orange","Orange","Orange",152.053599,676.3817598,42.8333477,NA,42.73846683,0,871.1738256,19.34089683,"Seminis 397694"
"187",90755,"Orange","Orange","Orange",498.9774542,1582.266951,99.31092247,33.77100885,44.86696894,0,2126.111374,20.95685301,"Seminis 397694"
"188",90257,"Orange","Orange","Orange",580.9714603,1841.079122,108.5903667,93.41310818,128.6000056,0,2550.650587,22.30447005,"Vilmorin I04428"
"189",90771,"Orange","Orange","Orange",279.2778108,1064.371471,93.20214452,81.13291727,126.7063473,0,1470.355629,14.41650606,"W133B"
"190",90773,"Orange","Orange","Orange",313.3636115,816.7386087,93.26413026,22.23512906,73.34875008,0,1203.45097,12.11722253,"W255B"
"191",90774,"Orange","Orange","Orange",297.1718143,738.889926,95.72341039,NA,48.35016292,0,1084.411903,10.82349381,"W259B"
"192",90783,"Orange","Orange","Orange",454.1848287,1791.487471,154.7003582,90.386483,39.19834478,0,2284.870644,14.51627085,"W278B"
"193",90784,"Orange","Orange","Orange",444.302475,1211.706861,76.81520478,60.95216477,63.3594103,0,1719.368746,21.55835346,"W279B"
